,find-train,irrelevant,find-flight,find-restaurant,purchase,find-around-me,provide-showtimes,find-hotel,Sentence,Predicted,Intent
0,0.020727816969156265,0.3929397463798523,0.03598225861787796,0.07283203303813934,0.37030187249183655,0.06633546948432922,0.009604641236364841,0.03127620369195938,Tu sais où je peux acheter un bazooka ?,irrelevant,irrelevant
1,0.03496987745165825,0.5311715602874756,0.03542918339371681,0.03870029002428055,0.08010490983724594,0.05404059216380119,0.029561256989836693,0.19602233171463013,déco de maison style maison ferret,irrelevant,irrelevant
2,0.01766742765903473,0.6812693476676941,0.02559807151556015,0.1340893805027008,0.05093640089035034,0.029113348573446274,0.021442651748657227,0.0398833304643631,j'ai envie qu'on se rencontre,irrelevant,irrelevant
3,0.02168157696723938,0.4298784136772156,0.03157595172524452,0.03815880045294762,0.26727965474128723,0.11753687262535095,0.01489518117159605,0.07899357378482819,J’ai besoin de fleurs pr ma grand mère,irrelevant,purchase
4,0.02702510356903076,0.15466369688510895,0.010786022059619427,0.6577169895172119,0.09836232662200928,0.023528223857283592,0.015830591320991516,0.012087129056453705,trouve à champigny-sur-marne où manger de la cuisine tchèque,find-restaurant,find-restaurant
5,0.06340787559747696,0.49940383434295654,0.07216647267341614,0.09808585792779922,0.0799943134188652,0.0678732767701149,0.0463932640850544,0.07267510890960693,Réécoutez,irrelevant,irrelevant
6,0.5845499634742737,0.06037723645567894,0.06042196601629257,0.10012812167406082,0.10167889297008514,0.06260661035776138,0.014343593269586563,0.015893658623099327,trouve-moi un billet de train demain pour Angers,find-train,find-train
7,0.05233662575483322,0.41555753350257874,0.04587820544838905,0.22721366584300995,0.15714746713638306,0.029441198334097862,0.012006661854684353,0.060418643057346344,"idiwii, Logement avec cuisine",irrelevant,irrelevant
8,0.0006493643159046769,0.9618285894393921,0.009914261288940907,0.0010788365034386516,0.010253478772938251,0.0037503140047192574,0.00034099421463906765,0.012184199877083302,"Il faudrait que tu me fasses un devis pour le vol et le séjour sans compter l'hotel, avec les infos d'avant et les mêmes date aussi.",irrelevant,irrelevant
9,0.008996408432722092,0.8495765328407288,0.011028422974050045,0.03647913411259651,0.04467734321951866,0.014923810958862305,0.011356127448379993,0.022962313145399094,"Pas du tout, c'est le sf de valthorens",irrelevant,irrelevant
10,0.007652835920453072,0.06947652250528336,0.01459554210305214,0.06470324844121933,0.7391989827156067,0.04725588113069534,0.0013003450585529208,0.055816661566495895,"Il me faut un brise-vue en matière toile bateau, tu peux me proposer des articles ?",purchase,purchase
11,0.054274819791316986,0.5209156274795532,0.0999617800116539,0.07589197158813477,0.07137952744960785,0.060283198952674866,0.05156511813402176,0.06572790443897247,Allo,irrelevant,irrelevant
12,0.010321006178855896,0.13629871606826782,0.008037206716835499,0.7568427920341492,0.026817452162504196,0.023080816492438316,0.01078924722969532,0.027812780812382698,Trouve moi un restaurant pour ce soir à Toulon,find-restaurant,find-restaurant
13,0.0012814177898690104,0.9394242763519287,0.003586053615435958,0.005737904459238052,0.012184085324406624,0.02901969477534294,0.004548925440758467,0.00421770429238677,Tu peux me dire s'il y a un moyen pour supprimer les actus envoyées ? Elles me bloquent pour retrouver les liens que tu m'avais envoyé sur maupassant,irrelevant,irrelevant
14,0.019803157076239586,0.739749014377594,0.04067918285727501,0.06783022731542587,0.04698764532804489,0.0298383217304945,0.024523744359612465,0.030588770285248756,Tu sais danser ?,irrelevant,irrelevant
15,0.0006553804269060493,0.32434308528900146,0.0040145618841052055,0.016020601615309715,0.04312874376773834,0.5279863476753235,0.0013596630888059735,0.08249163627624512,"Je vais être à Mauroux pour 3 jours, est-ce qu'il ya un Auchan ou Carrefour qui ferait drive ou qui livre les courses ?",find-around-me,find-around-me
16,0.2118012011051178,0.5815937519073486,0.05029764026403427,0.02445962466299534,0.024643460288643837,0.031226539984345436,0.0014024135889485478,0.07457540929317474,Dans 3 semaines ce sont mes vacances ! il me faut des billets pour partir de la gare de Lille et aller à la gare d'aix,irrelevant,find-train
17,0.013822210021317005,0.597448468208313,0.025840355083346367,0.06080903112888336,0.22585925459861755,0.041501667350530624,0.02339250221848488,0.01132645271718502,je pense que tu peux mettre le tout dernier dans le panier pour qu'on commande demain,irrelevant,irrelevant
18,0.035497646778821945,0.3746583163738251,0.07922486960887909,0.060162004083395004,0.2896432876586914,0.044871579855680466,0.0804511085152626,0.0354912132024765,tu peux me donner son site internet,irrelevant,irrelevant
19,0.056267037987709045,0.544435977935791,0.06785974651575089,0.09105613082647324,0.07045239210128784,0.05862869694828987,0.04869737848639488,0.06260263919830322,Impeccable,irrelevant,irrelevant
20,0.010153917595744133,0.8340358138084412,0.019705690443515778,0.0613289438188076,0.014891397207975388,0.030047504231333733,0.00390277779661119,0.02593395672738552,"Allez, on se parle plus tard",irrelevant,irrelevant
21,0.06449057906866074,0.5668672323226929,0.06173377484083176,0.08499281108379364,0.06432759016752243,0.06341081112623215,0.03812136873602867,0.05605580285191536,Jaimerais le gratuit,irrelevant,irrelevant
22,0.042508773505687714,0.43514734506607056,0.08888702094554901,0.09957064688205719,0.16115699708461761,0.073431596159935,0.029902391135692596,0.0693952664732933,visite de contrôle pour vérifier ma vue,irrelevant,irrelevant
